Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2016-01-01,1007.1259155273438,1208.199951171875,1219.5,1206.125,1219.5,712262
2016-01-04,987.6211547851562,1184.800048828125,1207.0,1183.0250244140625,1205.074951171875,1870184
2016-01-05,979.0137939453125,1174.4749755859375,1193.300048828125,1170.5,1192.5,2678020
2016-01-06,992.622314453125,1190.800048828125,1193.074951171875,1175.0999755859375,1175.0999755859375,2653228
2016-01-07,988.3084106445312,1185.625,1191.449951171875,1180.0,1185.0,3199580
2016-01-08,999.2905883789062,1198.800048828125,1203.675048828125,1186.25,1192.5,1907544
2016-01-11,984.5988159179688,1181.175048828125,1192.0,1174.425048828125,1191.25,2930228
2016-01-12,969.8865356445312,1163.5250244140625,1182.5,1150.800048828125,1181.3499755859375,3482594
2016-01-13,949.9429931640625,1139.5999755859375,1163.5,1127.550048828125,1158.5,4746092
2016-01-14,949.7760620117188,1139.4000244140625,1149.449951171875,1125.0,1136.5,2742052
2016-01-15,942.3991088867188,1130.550048828125,1145.8499755859375,1127.5,1144.425048828125,3269408
2016-01-18,949.2970581054688,1138.824951171875,1145.949951171875,1130.0,1131.0,2213922
2016-01-19,949.9845581054688,1139.6500244140625,1150.0,1134.1500244140625,1138.5,967910
2016-01-20,950.318359375,1140.050048828125,1142.5,1121.5,1136.9000244140625,1615954
2016-01-21,941.920166015625,1127.25,1144.949951171875,1122.875,1142.5,2675536
2016-01-22,959.154296875,1147.875,1151.0250244140625,1130.0,1136.5,1343178
2016-01-25,962.8729858398438,1152.324951171875,1169.5,1145.75,1150.949951171875,1397560
2016-01-27,969.1815795898438,1159.875,1164.9749755859375,1140.949951171875,1151.0,1626986
2016-01-28,973.965576171875,1165.5999755859375,1174.449951171875,1154.0250244140625,1157.75,3106660
2016-01-29,999.074951171875,1195.6500244140625,1200.0,1167.5250244140625,1179.3499755859375,2235744
2016-02-01,1003.8377075195312,1201.3499755859375,1206.4749755859375,1179.5,1195.550048828125,1495274
2016-02-02,1001.9158935546875,1199.050048828125,1216.5,1189.8499755859375,1204.5,1475588
2016-02-03,1009.519775390625,1208.1500244140625,1214.949951171875,1180.1500244140625,1193.75,1308692
2016-02-04,1011.086669921875,1210.0250244140625,1220.0,1201.0,1210.949951171875,1250046
2016-02-05,1011.8801879882812,1210.9749755859375,1219.9749755859375,1204.050048828125,1204.050048828125,1402996
2016-02-08,987.2304077148438,1181.4749755859375,1206.0250244140625,1173.5,1200.0,1063658
2016-02-09,953.1593627929688,1140.699951171875,1166.800048828125,1127.800048828125,1166.800048828125,2489610
2016-02-10,947.89501953125,1134.4000244140625,1144.949951171875,1129.050048828125,1137.5,1890732
2016-02-11,918.2938842773438,1098.9749755859375,1144.5,1085.824951171875,1140.0,1962408
2016-02-12,930.2640380859375,1113.300048828125,1121.699951171875,1082.0,1100.0,2172568
2016-02-15,948.0411987304688,1134.574951171875,1153.425048828125,1120.0,1125.0,2479712
2016-02-16,946.5371704101562,1132.7750244140625,1141.0,1121.5,1133.0,1588702
2016-02-17,950.7152099609375,1137.7750244140625,1139.824951171875,1123.199951171875,1132.5,1585178
2016-02-18,967.5521850585938,1157.925048828125,1159.875,1139.0,1142.5,1529140
2016-02-19,969.139892578125,1159.824951171875,1163.5,1152.7249755859375,1153.675048828125,879012
2016-02-22,967.5731811523438,1157.949951171875,1171.5,1152.5,1160.125,1324884
2016-02-23,945.8896484375,1132.0,1159.949951171875,1128.375,1155.125,1306852
2016-02-24,923.7255859375,1105.4749755859375,1131.2249755859375,1100.5999755859375,1131.2249755859375,1659328
2016-02-25,924.5192260742188,1106.425048828125,1114.0,1092.824951171875,1109.9000244140625,1830556
2016-02-26,923.5374145507812,1105.25,1128.449951171875,1099.800048828125,1114.8499755859375,1537536
2016-02-29,909.4578857421875,1088.4000244140625,1118.5,1057.5,1118.5,2191718
2016-03-01,951.1749877929688,1138.324951171875,1142.550048828125,1081.0,1096.5,1999760
2016-03-02,968.805908203125,1159.425048828125,1165.0,1128.125,1152.5,1527486
2016-03-03,991.4920654296875,1186.574951171875,1195.5,1150.5,1168.0,2648284
2016-03-04,984.9744262695312,1178.7750244140625,1190.0,1174.7750244140625,1190.0,1512966
2016-03-08,983.6165161132812,1177.1500244140625,1183.5,1152.0999755859375,1171.050048828125,1268152
2016-03-09,984.849365234375,1178.625,1184.699951171875,1147.574951171875,1170.5,2017784
2016-03-10,981.1098022460938,1174.1500244140625,1179.925048828125,1157.4749755859375,1178.0250244140625,1661666
2016-03-11,988.1912841796875,1182.625,1195.425048828125,1167.5,1170.0,1530528
2016-03-14,983.9088134765625,1177.5,1199.0,1170.0,1181.0,1636742
2016-03-15,973.422119140625,1164.949951171875,1181.75,1160.050048828125,1174.5250244140625,1623356
2016-03-16,972.2316284179688,1163.5250244140625,1166.0,1153.449951171875,1157.5,1918246
2016-03-17,982.67626953125,1176.0250244140625,1180.9000244140625,1166.0,1167.0,2221088
2016-03-18,1013.5098266601562,1212.925048828125,1215.0,1180.0,1180.0,3204070
2016-03-21,1022.0328369140625,1223.125,1227.4749755859375,1210.0,1213.0,2336982
2016-03-22,1033.2510986328125,1236.550048828125,1242.5,1218.25,1221.0,1951984
2016-03-23,1033.5430908203125,1236.9000244140625,1243.949951171875,1228.6500244140625,1243.949951171875,2278434
2016-03-28,1033.3760986328125,1236.699951171875,1258.574951171875,1230.7750244140625,1245.5,3320882
2016-03-29,1031.70458984375,1234.699951171875,1243.4749755859375,1227.5,1239.0,1838796
2016-03-30,1040.102783203125,1244.75,1252.5,1230.0,1235.449951171875,2136504
2016-03-31,1052.970947265625,1260.1500244140625,1275.0,1236.074951171875,1239.1500244140625,4363964
2016-04-01,1025.2288818359375,1226.949951171875,1260.425048828125,1217.050048828125,1252.5,3041400
2016-04-04,1032.4776611328125,1235.625,1244.0,1223.5,1228.0,1752352
2016-04-05,1028.9266357421875,1231.375,1242.449951171875,1221.0250244140625,1235.4000244140625,1491794
2016-04-06,1036.9268798828125,1240.949951171875,1244.5,1229.675048828125,1235.0,1763150
2016-04-07,1032.2896728515625,1235.4000244140625,1242.3499755859375,1228.5,1240.0,2390942
2016-04-08,1016.1005859375,1216.0250244140625,1236.8499755859375,1213.5,1233.0,1399500
2016-04-11,1047.2674560546875,1253.324951171875,1258.5,1206.5,1216.5,2400648
2016-04-12,1052.0723876953125,1259.074951171875,1262.5,1244.050048828125,1249.0,1303628
2016-04-13,1055.4354248046875,1263.0999755859375,1272.5,1256.25,1265.0,1601468
2016-04-18,1052.74072265625,1259.875,1276.75,1220.0,1226.5,7121504
2016-04-20,1023.7457885742188,1225.175048828125,1267.449951171875,1220.0,1267.449951171875,6405024
2016-04-21,1012.9041137695312,1212.199951171875,1233.699951171875,1206.0999755859375,1225.5,2525724
2016-04-22,1009.8333129882812,1208.5250244140625,1217.699951171875,1202.0999755859375,1209.5,1964126
2016-04-25,1024.12158203125,1225.625,1228.5250244140625,1201.1500244140625,1201.1500244140625,2267654
2016-04-26,1040.2279052734375,1244.9000244140625,1246.75,1221.0,1224.5,2554368
2016-04-27,1049.127197265625,1255.550048828125,1257.300048828125,1237.949951171875,1240.0,1848670
2016-04-28,1056.0831298828125,1263.875,1270.0,1249.050048828125,1250.6500244140625,4992744
2016-04-29,1059.3209228515625,1267.75,1271.0,1255.0,1258.5,2372178
2016-05-02,1055.64453125,1263.3499755859375,1265.0,1250.0,1264.5,1116692
2016-05-03,1035.33984375,1239.050048828125,1265.0,1236.0,1262.5,2153118
2016-05-04,1035.2979736328125,1239.0,1247.0250244140625,1228.5,1236.949951171875,1364892
2016-05-05,1032.0810546875,1235.1500244140625,1244.9749755859375,1231.7750244140625,1239.0,1246566
2016-05-06,1033.3760986328125,1236.699951171875,1242.1500244140625,1215.5,1232.5,885598
2016-05-09,1049.732666015625,1256.2750244140625,1259.0,1228.199951171875,1236.699951171875,1821276
2016-05-10,1054.0565185546875,1261.449951171875,1266.9749755859375,1248.0,1257.5,1158534
2016-05-11,1052.13525390625,1259.1500244140625,1262.800048828125,1245.0,1250.0,1598716
2016-05-12,1072.1475830078125,1283.0999755859375,1284.949951171875,1260.2750244140625,1260.2750244140625,1513082
2016-05-13,1054.2659912109375,1261.699951171875,1283.0,1255.074951171875,1282.5,1621730
2016-05-16,1065.859619140625,1275.574951171875,1282.4000244140625,1261.25,1269.0,1111526
2016-05-17,1073.8189697265625,1285.0999755859375,1295.625,1276.0,1282.0999755859375,1756698
2016-05-18,1065.838623046875,1275.550048828125,1282.925048828125,1263.0250244140625,1282.925048828125,1500740
2016-05-19,1068.2828369140625,1278.4749755859375,1280.0,1263.050048828125,1277.5,1038792
2016-05-20,1056.730712890625,1264.6500244140625,1282.9000244140625,1261.4000244140625,1271.1500244140625,1230918
2016-05-23,1040.9168701171875,1245.7249755859375,1272.949951171875,1240.0999755859375,1272.0,1533016
2016-05-24,1030.9947509765625,1233.8499755859375,1244.125,1229.800048828125,1242.0,1339158
2016-05-25,1055.539794921875,1263.2249755859375,1266.4749755859375,1240.5,1240.5,1548678
2016-05-26,1064.8358154296875,1274.3499755859375,1282.449951171875,1252.550048828125,1265.0,1943248
